LGA,Median House Price - 2019
LATROBE,270000
SOUTH GIPPSLAND,275000
CASEY,700000
STONNINGTON,4361000
MORNINGTON PENINSULA,580000
SURF COAST,820000
BAW BAW,397500
LATROBE,325000
TRARALGON EAST *no lga*,470000
MOONEE VALLEY,1125000
HEPBURN,614000
WYNDHAM,575000
HUME,612000
MORNINGTON PENINSULA,580500
MACEDON RANGES,492500
KNOX,642500
YARRA RANGES,702500
BASS COAST,535000
VENUS BAY *no lga*,330000
WHITEHORSE,937000
WHITEHORSE,1166500
BANYULE,920000
STRATHBOGIE,287500
INDIGO,355000
WALKERVILLE *no lga*,334500
MITCHELL,477500
WALLAN EAST *no lga*,450000
WANDANA HEIGHTS *no lga*,766500
YARRA RANGES,627500
WANGARATTA,319000
KNOX,860000
KNOX,988500
YARRA RANGES,515000
WARNEET *no lga*,512500
YARRIAMBIACK,118000
BAW BAW,460000
MANNINGHAM,987500
MAROONDAH,935000
WARRNAMBOOL,370000
WATERWAYS *no lga*,1270000
BANYULE,736000
BANYULE,726500
NILLUMBIK,778500
GREATER GEELONG,641500
LODDON,138500
WEIR VIEWS *no lga*,462500
BALLARAT,335000
WENDOUREE WEST *no lga*,257500
WYNDHAM,510000
WERRIBEE SOUTH *no lga*,744500
YARRA RANGES,530000
MARIBYRNONG,787500
MELBOURNE,1085000
WODONGA,342500
WESTALL *no lga*,730000
WESTGARTH *no lga*,1505000
HUME,620000
MONASH,1009000
GREATER BENDIGO,330000
GREATER GEELONG,377500
WHITTLESEA,577500
ARARAT,110000
WILLIAMS LANDING *no lga*,660000
HOBSONS BAY,1350000
WILLIAMSTOWN NORTH *no lga*,915000
WIMBLEDON HEIGHTS *no lga*,386500
SURF COAST,430000
STONNINGTON,1350000
WINTER VALLEY *no lga*,435000
WODONGA,330500
WOLLERT *no lga*,577500
MANNINGHAM,1111000
BASS COAST,375000
MACEDON RANGES,747500
WOOLAMAI WATERS *no lga*,495500
YARRA RANGES,510000
WY YUNG *no lga*,349000
BULOKE,141500
WYE RIVER *no lga*,1300000
WYNDHAM,465000
INDIGO,497500
BANYULE,792500
LATROBE,191000
YARRA RANGES,670000
YARRA RANGES,582500
BAW BAW,410000
WELLINGTON,240000
MARIBYRNONG,971000
MOIRA,375000
MURRINDINDI,435500
LATROBE,255000
